SiteSource	ItemID	ManufacturerID	ManufacturerCode	ManufacturerName	ProductID	ProductName	ProductDescription	ManufacturerItemCode	ItemDescription	ImageFileName	ItemImageURL	NDCItemCode	PKG	UnitPrice	QuantityOnHand	PriceDescription	Availability	PrimaryCategoryID	PrimaryCategoryName	SecondaryCategoryID	SecondaryCategoryName	CategoryID	CategoryName	IsRX	IsTBD
AIM	10183369	191	261	Cardinal Health	10020099	CARDINAL HEALTH DOVERô RED RUBBER ROBINSON LATEX CATHETERS	Two opposing eyes. Smooth, rounded tip. Integral tapered funnel end. Radiopaque. Single use. Sterile.	8887660101	Red Rubber Robinson Catheters, 10FR, 14"L, Latex, Sterile, 100/cs (Continental US Only)	i67094.jpg	https://secure.ndc-inc.com/AIMImage/i67094.jpg	KEN 8887660101	cs	56.1400	0		Stock Item	22	Urology	195	Catheters	988	Urethral/Intermittent	N	N
AIM	10093650	248	88	Integra Miltex	10007872	MILTEX SATTERLEE BONE SAW	Light metal handle with stainless 9" blade.	27-1560	Bone Saw, 12"				ea	332.6600	0		Mfr. Direct	7	Instruments	73	General Surgery	551	Orthopedic	N	N
AIM	10181986	248	88	Integra Miltex	10011067	MILTEX MEISTERHAND NEEDLE HOLDERS	Manufactured to German standards with exceptional value. Lifetime guarantee against defects in material or workmanship assures years of serviceability from each instrument. Selection of the most popular patterns of surgical instruments.	MH8-42	Mayo-Hegar 5" Needle Holder				ea	30.7100	0		Mfr. Direct	7	Instruments	73	General Surgery	558	Needle Holders	N	N
AIM	10220550	41	79	B Braun Medical, Inc.	10026212	B BRAUN DIALOGÆ PLUS HEMODIALYSIS SYSTEM & ACCESSORIES		7107367	DiacapÆ Ultra Pyrogen Filters, 6/cs (Rx) (Continental US+HI Only)			BBR 7107367	cs	348.6500	2	Call for Price	Stock Item	8	IV Products	77	IV Sets	580	Specialty Sets	Y	N
AIM	10300733	853	10001011	ASE Technology, Inc	10034538	ASE DIRECT XEROX TONER CARTRIDGES		106R1149	(Brand Name) Cartridge Phaser 3500 PAGE FIELD 12,000 1-print ctg				ea	230.6200	0	Brand Name Pricing	Mfr. Direct	10	Equipment & Furniture	104	Office Furniture	1069	Software/Office Services	N	N
AIM	10334038	986	10001181	Avanos Medical, Inc.	10030131	AVANOS MINIBORE EXTENSION SET		18933	Extension Set, 6", .25mL, Sterile, 25/cs			KIM 18933	cs	272.8300	0		Stock Item	8	IV Products	77	IV Sets	578	Sets/Extension Sets	N	N
AIM	10272971	580	10000711	Fabrication Enterprises, Inc.	10032277	FABRICATION VAL-U-TUBINGô LATEX FREE EXERCISE TUBING ROLLS	Latex free resistive exercise Val-u-Tubingô is color-coded in berry colors. An economical exercise tubing. Same great quality as CanDoÆ exercise tubing. Available in 25 foot bags and 100 foot dispenser boxes. Levels range in order of resistance from least to greatest resistance	10-4848	Exercise Tubing, 5-Piece Set Includes: (1) ea Peach-Plum (Levels 1-5), No Latex, 100 ft, 5/set			FAB 10-4848	set	105.9800	0	Call for pricing	Mfr. Direct	12	Orthopedic & Physical Therapy	114	Physical Therapy 	735	Supplies	N	N
AIM	10298235	829	10001002	Action Health	10034244	ACTION HEALTH ZIP BAGS W/ WHITE BLOCK 2 MIL	White Block Econo- Zip Reclosable Bags - 2-mil Weight	85251-85034	Zip Bag, 9X12, 2 MIL, White Block	v15759.jpg	https://secure.ndc-inc.com/AIMImage/iv15759.jpg		cs	52.3700	0		Mfr. Direct	5	Housekeeping And Janitorial Products	52	Can Liners/bags	504	Zip Closure	N	N
AIM	10308806	877	10001040	Quantimetrix Corporation	10035424	QUANTIMETRIX AMMONIA/ALCOHOL CONTROL	Ammonia/Alcohol ControlMonitor the performance of ammonia and ethanol assay methods at three clinically significant levels. Our Ammonia/Alcohol Control is perfect for use with most major chemistry analyzers including: Roche Cobas,Æ Siemens Dimension,Æ Abbott Architect, Beckman Coulter AU Instruments, Beckman Coulter SynchronÆ and Ortho Vitros.Æ *	1311-31	Ammonia/ Alcohol Control, Level 1, 3x5 Ml (DROP SHIP ONLY)			QTX 1311-31	ea	143.6700	0		Drop Ship Only	9	Lab Equipment & Accessories	84	Chemistry	588	Controls/Calibrators	N	N
AIM	10357876	792	10000958	Medegen Medical Products, LLC	10040759	MEDEGEN FACE MASK		99905A	Face Mask with Ear Loops, Polyethylene, Non-Medical, Blue, 50/bx, 10 bx/cs			MDG 99905A	cs	215.6100	0		14-21 Days	15	Protective Apparel 	132	Apparel	753	Masks	N	N
AIM	10358577	345	10000485	ICU Medical	10040839	ICU MEDICAL BLUSELECT TRACH TUBES & ACCESSORIES		101/815/070	Tracheostomy Tube, 7.0, Cuffed, with Wedge, Non-Fenestrated, PVC (US Only)			MDX 101/815/070	ea	46.9300	0		14-21 Days	17	Respiratory & Oxygen	143	Oxygen 	830	Tracheostomy Supplies	N	N
AIM	10135019	116	105	DJO, LLC	3233	PROCARE CURVED FINGER PROTECTORS	Indicated for transverse fractures of the phalanges.  Lightweight aluminum is curved to conform to finger in semi-flexed position. Indications include dislocations; phalangeal and metacarpal fractures.	79-71926	Padded Finger Protector, Medium/ Large, 5Ω"L x .875"W, 12/pk				pk	12.1400	0		Mfr. Direct	12	Orthopedic & Physical Therapy	116	Splints/Braces	747	Upper Extremities	N	N
AIM	10159117	29	10	American Diagnostic Corporation	10016782	ADC COMPLETE 2.5V INSTRUMENT SET ACCESSORIES		5215-TO	Tongue Depressor Attachment For Disposable				ea	2.8700	0		Mfr. Direct	1	Diagnostic Instruments	27	Illuminators	243	Otoscopes	N	N
AIM	10322864	126	10000058	Dynarex Corporation	10022821	DYNAREX PERSONAL CARE PRODUCTS		4864	Toothbrush Holder, 100/cs (Products cannot be sold on Amazon.com or any other 3rd party site)				cs	24.0000	0		Mfr. Direct	13	Patient Care & Exam Room Supplies	122	Personal Care Items	799	Miscellaneous	N	N
AIM	10239757	248	88	Integra Miltex	10028201	MILTEX GYNECOLOGY BIOPSY PUNCH FORCEPS	Each biopsy punch forceps feature a lock mechanism, mirror finished handle and precison cutting performance. 100% German crafted and engineered. Designed to facilitate a clean cut and help to reduce crush artifact during biopsy procedures. Lock mechanism protects the jaws during sterilization and storage.	301443WL	Burke Biopsy Forceps with Lock, 7Ω"				ea	526.7900	0		Mfr. Direct	7	Instruments	66	GYN	559	Biopsy	N	N
AIM	10302343	853	10001011	ASE Technology, Inc	10034438	ASE DIRECT CANON CARTRIDGES		R-3479B001AA	(Generic) Cartridge IMAGECLASS MF5850DN / 5880DN / 5950DW / 5960DN (CRG-119) PAGE FIELD 2,100 1-toner ctg (Full 1 year Money Back Satisfaction Guarantee)				ea	37.5000	0	Generic pricing 	Mfr. Direct	10	Equipment & Furniture	104	Office Furniture	1069	Software/Office Services	N	N
AIM	10375225	85	29	Conmed Corporation	10038744	CONMED ELECTROSURGICAL ACCESSORIES		60-5168-001	Monopolar Cord, 2.4mm Receptacle, 10ft Length, Gray, Single-Use, Sterile, 50/cs			CMD 60-5168-001	cs	266.7500	0		14-21 Days	21	Surgery/Minor Procedure	180	Electrosurgery	880	Generators/Accessories	N	N
AIM	10368589	1113	10001322	Walgreen Health Solutions	10041842	WALGREEN SHOES, BOOTS & INSOLES		10831727002896	Forefoot Off Loading Square Toe Shoe, X-Large, 24/cs				cs	305.7500	0		Mfr. Direct	12	Orthopedic & Physical Therapy	116	Splints/Braces	0		N	N
AIM	10274535	363	71	Surgical Specialties Corporation	10032444	SURGICAL SPECIALTIESô SUTURES		C181N	Chromic Gut Suture, Taper Point, Size 4-0, 14"/35cm, 22mm, 1/2 Circle, 12/bx			LOO C181N	bx	26.4000	0		14-21 Days	21	Surgery/Minor Procedure	188	Skin Closure	918	Sutures	N	N
AIM	10305599	245	111	Midmark Corporation (Ritter Medical)	10034445	MIDMARK SYNTHESISô MOBILE TREATMENT CABINET		M51D.794.SEH	Mobile Treatment Cabinet, (5) 4" Drawers, 18" Deep, 4" Casters with Locks, Soft Edge Handles, Dune, Woodgrain				ea	2042.0000	0		Mfr. Direct	10	Equipment & Furniture	96	Cabinetry	649	Miscellaneous storage	N	N
AIM	10326826	245	111	Midmark Corporation (Ritter Medical)	10037454	MIDMARK 230 LARGE FOOTREST		9A337001-843	230 Large Footrest, 24in Wide, Oasis				ea	267.0000	0		Mfr. Direct	10	Equipment & Furniture	101	Seating	0		N	N
AIM	10345775	1026	10001226	Essity Professional Hygiene North America, LLC	10039694	ESSITY TORK HAND TOWEL DISPENSERS		774720	Hand Towel Roll Dispenser, Mechanical, Mini, Universal, White, H76, Plastic, 12.5" x 11.8" x 7.5"	v21677.jpg	https://secure.ndc-inc.com/AIMImage/iv21677.jpg	ESS 774720	ea	14.7500	0		Stock Item	5	Housekeeping And Janitorial Products	50	Dispensers/Paper Products	507	Automatic	N	N
AIM	10371047	1115	10001324	Mindray	10041893	MINDRAY SPO2 ACCESSORIES		040-003387-00	Spo2 Sensor, RD Set Neopt-500, Non-Adhesive, (<1kg), 20/bx (DROP SHIP ONLY) (Pricing Subject to Change without Notice)			MIR 040-003387-00	bx	292.5000	0		Drop Ship Only	1	Diagnostic Instruments	29	Patient Monitoring/Vital Signs	269	Vital Signs Monitors	N	N
AIM	10374031	563	10000701	BSN Medical/Jobst	10042583	BSN MEDICAL ACTIMOVE ATHLETIC SUPPORTER	Comfortable protection for men during athletic activities.  Comfortable support and protection during athletic, strenuous activities thanks to the stretchy pouch material.  For more comfort, made with a wide, elastic waistband and soft, non-binding leg straps.  For hygiene, hand-washable at 30C/85F.  Suitable for those sensitive to latex, as this product is not made with natural rubber latex.	7551930	Sport Athletic Support for Men, White, Small			BSN 7551930	ea	8.9900	0		14-21 Days	12	Orthopedic & Physical Therapy	115	Soft Goods	739	Lower Extremities	N	N
AIM	10108856	49	209	BD	32039	BD INSYTEô AUTOGUARDô SHIELDED IV CATHETERS	A study showed that one hospital reduced its needlestick injuries by 95% by switching to BD Autoguardô needle shielding technology. The unique BD Instaflashô needle technology in the 20, 22 and 24 gauge sizes provides immediate confirmation of vessel entry along the catheter shaft. Made of clinically proven BD Vialonô biomaterial.	381512	IV Winged Catheter, 24G x æ", Yellow, 50/bx, 4 bx/cs (Continental US Only) (Drop Ship Requires Pre-Approval)	v10040.jpg	https://secure.ndc-inc.com/AIMImage/iv10040.jpg	BEC 381512	cs	375.3100	7		Stock Item	8	IV Products	76	IV Catheters	573	Safety	N	N
AIM	10377584	792	10000958	Medegen Medical Products, LLC	40148	MEDEGEN GENT-L-KAREÆ NON-STERILE SPECIMEN CONTAINERS	These containers are available in both polystyrene and polypropylene. Polystyrene enhances clarity while polypropylene improves durability. Both options come with a convenient pour spout for simplified specimen retrieval. Printed lids can be purchased separately. Lids have lines for patient name, doctor, date, time, am/pm, room number and case number.	PC1758-1KO	Container Snap Cap Lid for PC1756 & PC1757, White, 1000/cs (28/plt)			MDG PC1758-1KO	cs	90.7100	0		14-21 Days	9	Lab Equipment & Accessories	94	Sample Collection & Processing	644	Specimen Cups/Collectors	N	N
AIM	10284639	792	10000958	Medegen Medical Products, LLC	10023767	MEDEGEN LAUNDRY & LINEN BAGS		1-345	Laundry Bag, Cold Water (55F), Heavy Duty, Clear, 28" x 39", 1 mil, 30-35 Gal, 25/pk, 4 pk/cs			MDG 1-345	cs	79.3700	0		14-21 Days	5	Housekeeping And Janitorial Products	52	Can Liners/bags	502	Linen	N	N
AIM	10248945	397	334	Hillrom	10029375	WELCH ALLYN GREEN SERIESô (GS) 777 INTEGRATED WALL DIAGNOSTIC SYSTEMS & ACCESSORIES		77790-5	34" Panel For LXI Monitor (US Only)			WEL 77790-5	ea	172.3000	0		14-21 Days	1	Diagnostic Instruments	27	Illuminators	239	Diagnostic Sets/Systems	N	N
AIM	10323150	397	334	Hillrom	10025809	WELCH ALLYN GREEN SERIESô MEDICAL EXAM LIGHTS IV	Featuring a light pipe that is highly flexible and twice as long as conventional pipes, the Green Series Exam Light IV provides an unobtrusive exam for you and your patient. With a bright, single LED light that provides 3x the typical output of halogen and consumes less energy for improved efficiencies.	48960	Heavy Duty/ Tall Mobile Stand for GS 600 Minor Procedure Light (US Only)			WEL 48960	ea	465.7900	0		14-21 Days	10	Equipment & Furniture	98	Lighting	658	Exam	N	N
AIM	10217188	470	10000624	Duracell	10025884	DURACELLÆ COPPERTOPÆ ALKALINE RETAIL BATTERY WITH DURALOCK POWER PRESERVEô TECHNOLOGY		MN1400R4ZX	Battery, Alkaline, Size C, 4pk, 18 pk/cs (UPC# 13848) (Products are not for Private Household Markets; Products cannot be sold on Amazon.com or any other 3rd party site)	i41144.jpg	https://secure.ndc-inc.com/AIMImage/i41144.jpg	PGD MN1400R4ZX	cs	82.9100	327		Stock Item	5	Housekeeping And Janitorial Products	55	Batteries	0		N	N
AIM	10309901	412	10000570	Abbott Toxicology	10033737	ALERE TOXICOLOGY ONE STEP TEST CARD	A rapid, one step screening test for the simultaneous, qualitative detection of multiple drugs and drug metabolites in human urine. The test can be performed without the use of an instrument.  The test utilizes the monoclonal antibodies to selectively detect elevated levels of specific drugs in urine.	DOA-654	Drug Test, 5 Test iScreenô Card, COC, THC, MOR, mAMP, BZO, 25/bx (US Only)			INS DOA-654	bx	34.7500	0		14-21 Days	2	Lab - Point of Care	33	Rapid Tests	423	Urinalysis	N	N
AIM	10369440	1114	10001323	Power Plate	10041869	POWER PLATE ACCESSORIES	Many of our whole body vibration devices and our targeted vibration devices have tons of different accessory options to choose from.  From additional targeted vibration attachments to sound-dampening Power Plate Shields, we have everything you need to elevate your vibration therapy experience.	60BK-150-00	Acceleration Trainingô Handbook, $15.95 Shipping Charge (DROP SHIP ONLY)			PER 60BK-150-00	ea	19.7700	0		Drop Ship Only	12	Orthopedic & Physical Therapy	114	Physical Therapy 	0		N	N
AIM	1421509	310	107	Profex Medical Products	14215	PROFEX CHROMELINE COUCHES	The finest quality couches available in five different styles. Triple bolted design and chrome plated steel legs ensures strength and stability. Two inch high-density foam upholstered in your choice of over twenty colors. Ask for details. Backed by a two year guarantee. Designer colors at slight extra charge.	9780M	Chromeline Couch, Adjustable Raised Padded Headrest, 76" x 30" x 22"				ea	677.1100	0		Mfr. Direct	10	Equipment & Furniture	103	Tables	703	Miscellaneous	N	N
AIM	10353972	49	209	BD	10040343	BD BARD POWERLOCÆ MAX SAFETY INFUSION SET		0142215	PowerLocÆ Max Safety Infusion Set, 22G x 1.5", 25/pk (Continental US Only) (Drop Ship Requires Pre-Approval)			BDA 0142215	pk	363.5300	0		14-21 Days	8	IV Products	77	IV Sets	578	Sets/Extension Sets	N	N
AIM	10355490	491	10000651	Aspen Surgical	10040511	ASPEN SURGICAL MASK		15211	Mask, Surgical, Film, Anti-Fog, Green, 300/cs			APN 15211	cs	39.7100	0		Stock Item	15	Protective Apparel 	132	Apparel	753	Masks	N	N
AIM	10263360	25	10000212	AMD-Medicom	10013220	AMD MEDICOM ISOLATION GOWNS		A69972	Isolation Gown, Regular, Yellow, Breathable, 10/bg, 10 bg/cs			AMR A69972	cs	96.6500	0		14-21 Days	15	Protective Apparel 	132	Apparel	757	Gowns	N	N
AIM	10208383	191	261	Cardinal Health	10024041	CARDINAL HEALTH QUITON PERMCATH DUAL LUMEN CATHETERS		8817606001	Catheter, Dual Lumen, 23cm, Sterile (Continental US Only)			KEN 8817606001	ea	178.9200	0		14-21 Days	21	Surgery/Minor Procedure	183	Miscellaneous	896	Miscellaneous Products	N	N
AIM	10247585	590	10000772	Hygenic/Theraband	10028943	HYGENIC/THERA-BAND EXERCISE MATS	Made of high-density polyethylene, a lightweight non-PVC material. Easy to clean surface. Mats are waterproof, wear resistant, and designed for maximum support. They feature pre-drilled hanging holes and two elastic straps for easy storage.	25054	Exercise Mat, Green, 24" x 75" x .6", Retail Packaged, Individually Packed in Clear Zipper Bag, 4 ea/cs (045029) (US Only)	i80413.jpg	https://secure.ndc-inc.com/AIMImage/i80413.jpg	HYC 25054	cs	222.5100	0		14-21 Days	12	Orthopedic & Physical Therapy	114	Physical Therapy 	735	Supplies	N	N
AIM	10370865	1115	10001324	Mindray	10041886	MINDRAY ACCESSORIES & MISCELLANEUOUS		009-003116-00	Nurse Call Cable (DROP SHIP ONLY) (Pricing Subject to Change without Notice)			MIR 009-003116-00	ea	143.0000	0		Drop Ship Only	1	Diagnostic Instruments	29	Patient Monitoring/Vital Signs	256	Blood Pressure	N	N
AIM	10092932	248	88	Integra Miltex	10007655	MILTEX RUBIN SEPTAL MORSELIZER	Double action. Deeply serrated jaws 17 x 5mm supplied with one slip-on guard.	20-553	Accessories: Slip-On Guard Only				ea	46.0800	0		Mfr. Direct	7	Instruments	70	ENT	546	General/Miscellaneous	N	N
AIM	10302850	309	10000510	Pro Advantage	10035089	PRO ADVANTAGEÆ WET AND FINISH MOPS	Wet and Finish Mops available in several styles and materials for cleaning floors in healthcare facilities.	P124834	Wet Mop, 4-Ply,  Synthetic Blend, Natural, 1 1/4" Headband, Single Tailband, Medium (DROP SHIP ONLY from Golden Star, Inc. - $100 minimum order for prepaid freight outside the continental U.S., $50 dollar minimum order inside the continental U.S.)	v10829.jpg	https://secure.ndc-inc.com/AIMImage/iv10829.jpg	NDC P124834	ea	3.9800	0		Drop Ship Only	5	Housekeeping And Janitorial Products	48	Cleaning Supplies	506	Equipment	N	N
AIM	10335782	191	261	Cardinal Health	10019300	CARDINAL HEALTH VISTEC X-RAY DETECTABLE SPONGES	USP Type VII gauze.  Unique dual-colored element combines blue radiopaque strand with white strand which is visible when sponge is saturated with blood.  Element is latex free and runs through both sides of sponge to facilitate counting.  Precise, double vacuum delinting process assures low lint.  Sponges are paper banded in 10's, utilizing state of the art electronic counting eyes to help ensure a count of 10 sponges time after time.	7317--	Vistec X-Ray Detectable Sponge, Sterile, Banded 10s - Trays, 4" x 4", 16-Ply, 10/tr, 128 tr/cs (16 cs/plt) (Continental US Only) (Manufacturer Backorder - Inventory Limited when Available)			KEN 7317--	cs	173.6200	5		Stock Item	19	Skin And Wound Care	157	Gauze Pads	961	X-ray detectable	N	N
